bureautique,Bureautique I,,60
analyse,Analyse Infinitésimale,,45
algebre,Algèbre,,45
stat,Statistique Descriptive,,45
elec,Electricité Générale,,45
math,Mathématique Discrètes,,30
opt,Optique,,30
ifg,IFG,,30
sfo,SFO,,30
algo,Algorithmique,,60
sfo,Science & Fois et Philosophie,,30
processing,Processing,M. Deoel,30
irs,IRS,,30
eoe,Expression Orale et Ecrite,,45
ang,Anglais Technique,,60
oge,OGE,,30
compt,Comptabilité Générale,,45
educcit,EDUCCIT,,30
logique,Logique formelle,,30
sida,SIDA,,15
leadership,Leadership,,30
